episode,step,Te,Te_ref,Id,Iq,action_d,action_q,reward,speed
0,0,0.48181278,0.51491576,0.74677336,0.23466922,-0.97878635,-0.19732077,-0.40355439483935585,106.51207397655341
0,1,0.49221495,0.51491576,0.527989,0.20853646,-1.0,-0.118732944,-0.12136083314352601,106.51207397655341
0,2,0.5267171,0.51491576,0.3101447,0.1975547,-0.99774075,-0.040950373,-0.08747290682146516,106.51207397655341
0,3,0.52465194,0.51491576,0.17715767,0.18390143,-0.61342674,-0.06525684,-0.08943536705404093,106.51207397655341
0,4,0.523903,0.51491576,0.11917144,0.17854385,-0.2729724,-0.02149154,-0.07369333397289593,106.51207397655341
0,5,0.52126056,0.51491576,0.08379867,0.17468673,-0.17047381,-0.015042646,-0.04134823292972655,106.51207397655341
0,6,0.5185105,0.51491576,0.059220858,0.17177865,-0.12158226,-0.010992487,-0.03101365017057023,106.51207397655341
0,7,0.51736766,0.51491576,0.041820962,0.17002398,-0.089082986,-0.0052959872,-0.025584400195851318,106.51207397655341
0,8,0.5168333,0.51491576,0.02931892,0.16887422,-0.06692487,-0.0025028386,-0.02245624316093183,106.51207397655341
0,9,0.51649094,0.51491576,0.02023006,0.1680616,-0.051490854,-0.001067951,-0.020744482756765197,106.51207397655341
0,10,0.51627934,0.51491576,0.013596856,0.1674852,-0.040388767,-7.7053905e-05,-0.019711937643199822,106.51207397655341
0,11,0.5161458,0.51491576,0.008750176,0.16707309,-0.032312814,0.0005985945,-0.019042354096017244,106.51207397655341
0,12,0.5160559,0.51491576,0.0052076797,0.16677547,-0.026417715,0.0010599938,-0.018595936945657813,106.51207397655341
0,13,0.51599324,0.51491576,0.0026186921,0.16655956,-0.022107866,0.0013857922,-0.018289346270381823,106.51207397655341
0,14,0.51594937,0.51491576,0.0007269984,0.16640274,-0.018956171,0.0016200976,-0.018074097295427288,106.51207397655341
0,15,0.5159182,0.51491576,-0.00065483665,0.16628863,-0.016651694,0.0017887484,-0.017921345447432627,106.51207397655341
0,16,0.515896,0.51491576,-0.0016640864,0.1662056,-0.014967687,0.0019110865,-0.017812057819823916,106.51207397655341
0,17,0.5158797,0.51491576,-0.0024009517,0.16614495,-0.013736568,0.0019987647,-0.017733574311669647,106.51207397655341
0,18,0.5158677,0.51491576,-0.0029387623,0.1661007,-0.012836876,0.0020629882,-0.017676575526050023,106.51207397655341
0,19,0.51585937,0.51491576,-0.0033313348,0.16606854,-0.012180434,0.002110672,-0.017635043404839297,106.51207397655341
0,20,0.5158534,0.51491576,-0.0036178282,0.16604511,-0.011700983,0.0021448848,-0.017605186567487774,106.51207397655341
0,21,0.5158489,0.51491576,-0.0038268946,0.16602796,-0.011351031,0.0021692927,-0.01758353421603053,106.51207397655341
0,22,0.5158454,0.51491576,-0.003979499,0.1660154,-0.011095836,0.002187174,-0.017567610732496318,106.51207397655341
0,23,0.5158431,0.51491576,-0.004090871,0.16600631,-0.010909474,0.002200883,-0.01755596058811727,106.51207397655341
0,24,0.5158416,0.51491576,-0.004172165,0.16599973,-0.010773532,0.002210837,-0.017547599348359203,106.51207397655341
0,25,0.5158404,0.51491576,-0.0042315032,0.1659949,-0.0106743025,0.0022175424,-0.017541657619708294,106.51207397655341
0,26,0.5158391,0.51491576,-0.004274742,0.16599125,-0.010601534,0.0022218935,-0.017537250292137718,106.51207397655341
0,27,0.51583844,0.51491576,-0.004306273,0.16598865,-0.01054861,0.002226334,-0.017533739003721238,106.51207397655341
0,28,0.515838,0.51491576,-0.004329285,0.1659868,-0.010510109,0.002229195,-0.017531297822134022,106.51207397655341
0,29,0.5158376,0.51491576,-0.0043460736,0.1659854,-0.01048198,0.0022308938,-0.01752960750395207,106.51207397655341
0,30,0.5158374,0.51491576,-0.0043582995,0.1659844,-0.010461358,0.002232533,-0.017528320457566613,106.51207397655341
0,31,0.5158372,0.51491576,-0.0043672035,0.16598369,-0.01044634,0.0022336058,-0.017527391964611273,106.51207397655341
0,32,0.5158369,0.51491576,-0.004373681,0.1659831,-0.0104353735,0.002234023,-0.017526702522466044,106.51207397655341
0,33,0.51583683,0.51491576,-0.0043784315,0.16598272,-0.010427566,0.002234947,-0.01752608521225746,106.51207397655341
0,34,0.51583666,0.51491576,-0.004381916,0.16598241,-0.010421845,0.0022351854,-0.01752570852997619,106.51207397655341
0,35,0.5158368,0.51491576,-0.004384464,0.16598226,-0.010417613,0.0022358708,-0.017525449321687016,106.51207397655341
0,36,0.5158368,0.51491576,-0.004386339,0.16598211,-0.010414574,0.002235841,-0.017525346602887293,106.51207397655341
0,37,0.5158366,0.51491576,-0.004387687,0.16598195,-0.01041219,0.0022357218,-0.01752525728977933,106.51207397655341
0,38,0.51583666,0.51491576,-0.0043886793,0.1659819,-0.010410581,0.0022362582,-0.017525043206382394,106.51207397655341
0,39,0.51583666,0.51491576,-0.004389381,0.16598184,-0.0104092695,0.0022362284,-0.017525026560664597,106.51207397655341
0,40,0.51583666,0.51491576,-0.004389898,0.16598181,-0.010408435,0.002236288,-0.0175249838792508,106.51207397655341
0,41,0.5158367,0.51491576,-0.004390296,0.16598178,-0.010407899,0.0022363476,-0.017524961767359494,106.51207397655341
0,42,0.51583654,0.51491576,-0.004390537,0.16598172,-0.010407184,0.0022360794,-0.017525025128114824,106.51207397655341
0,43,0.5158367,0.51491576,-0.0043907375,0.16598177,-0.010407005,0.0022366755,-0.017524853719664148,106.51207397655341
0,44,0.5158366,0.51491576,-0.0043908725,0.16598172,-0.010406707,0.0022361986,-0.01752502648857855,106.51207397655341
0,45,0.5158366,0.51491576,-0.004390955,0.16598171,-0.010406469,0.0022363476,-0.017524887971230627,106.51207397655341
0,46,0.5158366,0.51491576,-0.004391011,0.16598171,-0.01040635,0.002236437,-0.017524842779556977,106.51207397655341
0,47,0.51583666,0.51491576,-0.0043910667,0.16598171,-0.01040635,0.002236437,-0.017524839377437405,106.51207397655341
0,48,0.5158366,0.51491576,-0.0043910965,0.1659817,-0.010406231,0.0022363178,-0.017524881983191104,106.51207397655341
0,49,0.5158366,0.51491576,-0.0043911263,0.16598171,-0.010406231,0.0022364669,-0.017524821595010464,106.51207397655341
0,50,0.51583666,0.51491576,-0.0043911557,0.16598171,-0.010406231,0.0022364669,-0.01752483771416496,106.51207397655341
0,51,0.51583666,0.51491576,-0.0043911585,0.16598172,-0.010406111,0.0022364669,-0.017524881276030288,106.51207397655341
0,52,0.5158367,0.51491576,-0.0043911617,0.16598172,-0.010406111,0.0022364669,-0.017524895268005946,106.51207397655341
0,53,0.51583666,0.51491576,-0.004391191,0.16598171,-0.010406231,0.002236288,-0.01752495090665386,106.51207397655341
0,54,0.51583666,0.51491576,-0.004391194,0.16598171,-0.010406111,0.0022364669,-0.01752488532844536,106.51207397655341
0,55,0.5158366,0.51491576,-0.004391197,0.1659817,-0.010406111,0.0022363178,-0.017524897316613535,106.51207397655341
0,56,0.5158366,0.51491576,-0.0043912004,0.1659817,-0.010406111,0.0022364073,-0.017524836630482293,106.51207397655341
0,57,0.5158366,0.51491576,-0.0043912036,0.1659817,-0.010406111,0.0022364669,-0.017524828129983648,106.51207397655341
0,58,0.5158366,0.51491576,-0.0043912064,0.1659817,-0.010406111,0.0022364073,-0.01752485533117298,106.51207397655341
0,59,0.5158366,0.51491576,-0.0043912097,0.1659817,-0.010406111,0.0022364073,-0.01752484395444426,106.51207397655341
0,60,0.5158366,0.51491576,-0.004391213,0.1659817,-0.010406111,0.0022364073,-0.01752483863079193,106.51207397655341
0,61,0.5158366,0.51491576,-0.004391216,0.1659817,-0.010406111,0.002236437,-0.01752483638998167,106.51207397655341
0,62,0.51583666,0.51491576,-0.004391219,0.1659817,-0.010406111,0.002236437,-0.017524844604204098,106.51207397655341
0,63,0.51583666,0.51491576,-0.0043912223,0.16598171,-0.010406111,0.002236437,-0.017524855842646896,106.51207397655341
0,64,0.5158366,0.51491576,-0.0043912255,0.16598168,-0.010406111,0.002236288,-0.01752488201469551,106.51207397655341
0,65,0.5158366,0.51491576,-0.004391229,0.16598168,-0.010406111,0.002236437,-0.017524811782037377,106.51207397655341
0,66,0.5158366,0.51491576,-0.004391232,0.1659817,-0.010406111,0.002236437,-0.01752480853519291,106.51207397655341
0,67,0.5158366,0.51491576,-0.0043912088,0.1659817,-0.010405992,0.0022364669,-0.017524835079298796,106.51207397655341
0,68,0.5158366,0.51491576,-0.004391212,0.1659817,-0.010406111,0.0022364073,-0.017524859651355005,106.51207397655341
0,69,0.5158366,0.51491576,-0.0043912153,0.1659817,-0.010406111,0.0022364073,-0.017524836523014918,106.51207397655341
0,70,0.5158366,0.51491576,-0.004391218,0.1659817,-0.010406111,0.002236437,-0.017524834348852877,106.51207397655341
0,71,0.5158366,0.51491576,-0.0043912213,0.1659817,-0.010406111,0.0022364073,-0.017524845599891616,106.51207397655341
0,72,0.5158366,0.51491576,-0.0043912246,0.1659817,-0.010406111,0.002236437,-0.01752484060181142,106.51207397655341
0,73,0.5158366,0.51491576,-0.004391228,0.1659817,-0.010406111,0.0022364073,-0.017524851997644114,106.51207397655341
0,74,0.51583666,0.51491576,-0.0043912046,0.16598171,-0.010405992,0.0022364669,-0.017524861986803395,106.51207397655341
0,75,0.51583666,0.51491576,-0.0043912074,0.16598171,-0.010406111,0.0022364073,-0.017524883381850858,106.51207397655341
0,76,0.51583666,0.51491576,-0.0043912106,0.16598171,-0.010406111,0.0022364669,-0.017524866015441343,106.51207397655341
0,77,0.51583666,0.51491576,-0.0043912134,0.16598171,-0.010406111,0.0022364073,-0.017524893276529646,106.51207397655341
0,78,0.51583666,0.51491576,-0.0043912167,0.16598171,-0.010406111,0.0022364073,-0.017524881954767108,106.51207397655341
0,79,0.51583666,0.51491576,-0.0043912195,0.16598171,-0.010406111,0.0022364073,-0.01752487668116983,106.51207397655341
0,80,0.51583666,0.51491576,-0.0043912227,0.16598171,-0.010406111,0.0022364073,-0.017524871505292822,106.51207397655341
0,81,0.51583666,0.51491576,-0.0043912255,0.16598171,-0.010406111,0.0022364073,-0.017524866427208758,106.51207397655341
0,82,0.51583666,0.51491576,-0.004391229,0.1659817,-0.010406111,0.0022364073,-0.017524861446978488,106.51207397655341
0,83,0.5158366,0.51491576,-0.0043912316,0.1659817,-0.010406111,0.0022364073,-0.017524856564650606,106.51207397655341
0,84,0.51583666,0.51491576,-0.004391235,0.16598171,-0.010406111,0.002236437,-0.01752485476049356,106.51207397655341
0,85,0.5158366,0.51491576,-0.0043912376,0.16598168,-0.010406111,0.002236288,-0.01752487829789926,106.51207397655341
0,86,0.5158366,0.51491576,-0.004391215,0.1659817,-0.010405992,0.0022364669,-0.01752482325336241,106.51207397655341
0,87,0.51583654,0.51491576,-0.004391218,0.16598167,-0.010406111,0.002236288,-0.017524845097904855,106.51207397655341
0,88,0.5158366,0.51491576,-0.004391222,0.16598168,-0.010406111,0.0022365265,-0.017524768893635998,106.51207397655341
0,89,0.5158366,0.51491576,-0.004391225,0.1659817,-0.010406111,0.002236437,-0.01752481457055931,106.51207397655341
0,90,0.5158366,0.51491576,-0.0043912283,0.1659817,-0.010406111,0.002236437,-0.017524817165223597,106.51207397655341
0,91,0.5158366,0.51491576,-0.004391205,0.1659817,-0.010405992,0.0022364669,-0.017524843580124985,106.51207397655341
0,92,0.5158366,0.51491576,-0.0043912083,0.1659817,-0.010406111,0.0022364073,-0.01752486802267996,106.51207397655341
0,93,0.5158366,0.51491576,-0.0043912116,0.1659817,-0.010406111,0.0022364073,-0.01752484476455875,106.51207397655341
0,94,0.5158366,0.51491576,-0.0043912143,0.1659817,-0.010406111,0.0022364073,-0.01752483948012115,106.51207397655341
0,95,0.5158366,0.51491576,-0.0043912176,0.1659817,-0.010406111,0.002236437,-0.017524837278200346,106.51207397655341
0,96,0.5158366,0.51491576,-0.004391221,0.1659817,-0.010406111,0.0022364073,-0.017524848501282882,106.51207397655341
0,97,0.5158366,0.51491576,-0.0043912237,0.1659817,-0.010406111,0.002236437,-0.01752484347505383,106.51207397655341
0,98,0.5158366,0.51491576,-0.004391227,0.1659817,-0.010406111,0.0022364073,-0.017524854842549155,106.51207397655341
0,99,0.51583666,0.51491576,-0.0043912036,0.16598171,-0.010405992,0.0022364669,-0.01752486480318725,106.51207397655341
0,100,0.51583666,0.51491576,-0.004391207,0.16598171,-0.010406111,0.0022364073,-0.017524886169534407,106.51207397655341
0,101,0.51583666,0.51491576,-0.0043912097,0.16598171,-0.010406111,0.0022364669,-0.017524868774249684,106.51207397655341
0,102,0.51583666,0.51491576,-0.004391213,0.16598171,-0.010406111,0.0022364073,-0.01752489600629225,106.51207397655341
0,103,0.51583666,0.51491576,-0.0043912157,0.16598171,-0.010406111,0.0022364073,-0.017524884655318245,106.51207397655341
0,104,0.51583666,0.51491576,-0.0043912185,0.16598171,-0.010406111,0.0022364073,-0.017524879352348015,106.51207397655341
0,105,0.51583666,0.51491576,-0.004391222,0.16598171,-0.010406111,0.0022364073,-0.017524874146941042,106.51207397655341
0,106,0.51583666,0.51491576,-0.0043912246,0.16598171,-0.010406111,0.0022364073,-0.017524869039174683,106.51207397655341
0,107,0.51583666,0.51491576,-0.004391228,0.1659817,-0.010406111,0.0022364073,-0.017524864029114035,106.51207397655341
0,108,0.5158366,0.51491576,-0.0043912306,0.1659817,-0.010406111,0.0022364073,-0.017524859116812157,106.51207397655341
0,109,0.51583666,0.51491576,-0.004391234,0.16598171,-0.010406111,0.002236437,-0.01752485728254209,106.51207397655341
0,110,0.5158366,0.51491576,-0.004391237,0.16598168,-0.010406111,0.002236288,-0.01752488078969997,106.51207397655341
0,111,0.5158366,0.51491576,-0.004391214,0.1659817,-0.010405992,0.0022364669,-0.017524825714785194,106.51207397655341
0,112,0.51583654,0.51491576,-0.0043912176,0.16598167,-0.010406111,0.002236288,-0.01752484752882388,106.51207397655341
0,113,0.5158366,0.51491576,-0.004391221,0.16598168,-0.010406111,0.0022365265,-0.01752477129392974,106.51207397655341
0,114,0.5158366,0.51491576,-0.004391224,0.1659817,-0.010406111,0.002236437,-0.01752481694011084,106.51207397655341
0,115,0.5158366,0.51491576,-0.0043912274,0.1659817,-0.010406111,0.002236437,-0.01752481950392001,106.51207397655341
0,116,0.5158366,0.51491576,-0.004391204,0.1659817,-0.010405992,0.0022364669,-0.017524845887858062,106.51207397655341
0,117,0.5158366,0.51491576,-0.0043912074,0.1659817,-0.010406111,0.0022364073,-0.017524870299345522,106.51207397655341
0,118,0.5158366,0.51491576,-0.0043912106,0.1659817,-0.010406111,0.0022364073,-0.017524847010057607,106.51207397655341
0,119,0.5158366,0.51491576,-0.0043912134,0.1659817,-0.010406111,0.0022364073,-0.017524841694357918,106.51207397655341
0,120,0.5158366,0.51491576,-0.0043912167,0.1659817,-0.010406111,0.002236437,-0.01752483946108412,106.51207397655341
0,121,0.51583666,0.51491576,-0.00439122,0.1659817,-0.010406111,0.002236437,-0.017524847682429075,106.51207397655341
0,122,0.51583666,0.51491576,-0.0043912227,0.16598171,-0.010406111,0.002236437,-0.01752485892758117,106.51207397655341
0,123,0.5158366,0.51491576,-0.004391226,0.16598168,-0.010406111,0.002236288,-0.017524885105927673,106.51207397655341
0,124,0.5158366,0.51491576,-0.0043912292,0.16598168,-0.010406111,0.002236437,-0.017524814879157507,106.51207397655341
0,125,0.5158366,0.51491576,-0.0043912325,0.1659817,-0.010406111,0.002236437,-0.01752481163779278,106.51207397655341
0,126,0.5158366,0.51491576,-0.004391209,0.1659817,-0.010405992,0.0022364669,-0.01752483818697189,106.51207397655341
0,127,0.5158366,0.51491576,-0.0043912125,0.1659817,-0.010406111,0.0022364073,-0.017524862763696414,106.51207397655341
0,128,0.5158366,0.51491576,-0.0043912157,0.1659817,-0.010406111,0.0022364073,-0.01752483963962156,106.51207397655341
0,129,0.5158366,0.51491576,-0.004391219,0.1659817,-0.010406111,0.002236437,-0.01752483746932326,106.51207397655341
0,130,0.5158366,0.51491576,-0.004391222,0.1659817,-0.010406111,0.0022364073,-0.017524848723825964,106.51207397655341
0,131,0.5158366,0.51491576,-0.004391225,0.1659817,-0.010406111,0.002236437,-0.017524843728812228,106.51207397655341
0,132,0.51583666,0.51491576,-0.0043912283,0.16598171,-0.010406111,0.002236437,-0.017524852157016903,106.51207397655341
0,133,0.51583666,0.51491576,-0.004391231,0.1659817,-0.010406111,0.0022364073,-0.017524866577613974,106.51207397655341
0,134,0.51583666,0.51491576,-0.004391234,0.16598171,-0.010406111,0.002236437,-0.01752486176524784,106.51207397655341
0,135,0.5158366,0.51491576,-0.004391237,0.16598168,-0.010406111,0.002236288,-0.01752488526410983,106.51207397655341
0,136,0.5158366,0.51491576,-0.0043912143,0.1659817,-0.010405992,0.0022364669,-0.017524830180404204,106.51207397655341
0,137,0.51583654,0.51491576,-0.0043912176,0.16598167,-0.010406111,0.002236288,-0.017524851985161294,106.51207397655341
