episode,step,Id,Iq,Id_ref,Iq_ref,action_d,action_q,reward,speed
0,0,0.20487389,0.5489931,0.25896,0.5564,0.9995876,0.62057567,-1.2657354947822874,509.3778324336012
0,1,0.26195943,0.55317515,0.25896,0.5564,0.06590753,0.057889227,-0.49026693700169865,509.3778324336012
0,2,0.26173297,0.5572,0.25896,0.5564,-0.10844104,0.06170459,-0.1594866620194367,509.3778324336012
0,3,0.25804147,0.55574733,0.25896,0.5564,-0.11922337,0.04005639,-0.10604041134308097,509.3778324336012
0,4,0.26061034,0.5564062,0.25896,0.5564,-0.100164406,0.048199657,-0.07868443927360987,509.3778324336012
0,5,0.26056397,0.5564205,0.25896,0.5564,-0.10815019,0.045884233,-0.05686646857171706,509.3778324336012
0,6,0.25871164,0.5567556,0.25896,0.5564,-0.1136711,0.04698996,-0.05533562641910715,509.3778324336012
0,7,0.25983742,0.555747,0.25896,0.5564,-0.104575895,0.041691303,-0.05143399407660154,509.3778324336012
0,8,0.26058394,0.55638474,0.25896,0.5564,-0.1056803,0.04825374,-0.06659926441044126,509.3778324336012
0,9,0.25745386,0.55742896,0.25896,0.5564,-0.117615424,0.04966229,-0.05887973570020916,509.3778324336012
0,10,0.2606335,0.5564854,0.25896,0.5564,-0.09848969,0.04191639,-0.09351747920233072,509.3778324336012
0,11,0.25886256,0.5568649,0.25896,0.5564,-0.113440424,0.047180988,-0.06963380377722049,509.3778324336012
0,12,0.26063207,0.55643517,0.25896,0.5564,-0.10269838,0.044025294,-0.04741555127123488,509.3778324336012
0,13,0.25932816,0.5560658,0.25896,0.5564,-0.11193733,0.04429275,-0.058066331606428996,509.3778324336012
0,14,0.2589512,0.5558634,0.25896,0.5564,-0.109077714,0.044811234,-0.045094228831639396,509.3778324336012
0,15,0.26060492,0.55638033,0.25896,0.5564,-0.10294427,0.047716513,-0.03935640729354736,509.3778324336012
0,16,0.2605794,0.5564242,0.25896,0.5564,-0.108084716,0.046000186,-0.05630340922499142,509.3778324336012
0,17,0.25768617,0.5566167,0.25896,0.5564,-0.116819285,0.046355247,-0.05639339255530185,509.3778324336012
0,18,0.26062942,0.5564262,0.25896,0.5564,-0.09911899,0.04486608,-0.06757622356212048,509.3778324336012
0,19,0.26056212,0.55643517,0.25896,0.5564,-0.10821699,0.045864843,-0.05867976174115405,509.3778324336012
0,20,0.25933793,0.55929416,0.25896,0.5564,-0.11201688,0.056891598,-0.06262384639629262,509.3778324336012
0,21,0.2543478,0.55716985,0.25896,0.5564,-0.12354043,0.03698426,-0.09808223446773835,509.3778324336012
0,22,0.260659,0.55647516,0.25896,0.5564,-0.08898086,0.042647474,-0.12177552469144456,509.3778324336012
0,23,0.26055744,0.55642074,0.25896,0.5564,-0.1083242,0.045619965,-0.06924699977549234,509.3778324336012
0,24,0.26215163,0.55635417,0.25896,0.5564,-0.10316234,0.045687314,-0.0525278916469417,509.3778324336012
0,25,0.2605506,0.5564332,0.25896,0.5564,-0.112853736,0.046254456,-0.07549033552199944,509.3778324336012
